F[2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0]
F[2, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0]
F[2, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0]
F[2, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0]
F[2, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0]
F[2, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0]
F[2, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0]
F[1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0]
F[1, 2, 1, 2, 1, 1, 1, 1, 0, 0, 0]
F[1, 2, 1, 1, 2, 1, 1, 1, 0, 0, 0]
F[1, 2, 1, 1, 1, 2, 1, 1, 0, 0, 0]
F[1, 2, 1, 1, 1, 1, 2, 1, 0, 0, 0]
F[1, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0]
F[1, 1, 2, 2, 1, 1, 1, 1, 0, 0, 0]
F[1, 1, 2, 1, 2, 1, 1, 1, 0, 0, 0]
F[1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0]
F[1, 1, 2, 1, 1, 1, 2, 1, 0, 0, 0]
F[1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0]
F[1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0]
F[1, 1, 1, 2, 1, 2, 1, 1, 0, 0, 0]
F[1, 1, 1, 2, 1, 1, 2, 1, 0, 0, 0]
F[1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0]
F[1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 0]
F[1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 0]
F[1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 0]
F[1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 0]
F[1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 0]
F[1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0]
F[3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]
F[1, 3, 1, 1, 1, 1, 1, 1, 0, 0, 0]
F[1, 1, 3, 1, 1, 1, 1, 1, 0, 0, 0]
F[1, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0]
F[1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0]
F[1, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0]
F[1, 1, 1, 1, 1, 1, 3, 1, 0, 0, 0]
F[1, 1, 1, 1, 1, 1, 1, 3, 0, 0, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1]
F[1, 1, 1, 1, 1, 1, 1, 1, -1, 0, -1]
F[1, 1, 1, 1, 1, 1, 1, 1, -2, 0, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, -2, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -2]
F[1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1]
F[1, 1, 1, 1, 1, 1, 1, 1, -2, -1, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, -2, 0, -1]
F[1, 1, 1, 1, 1, 1, 1, 1, -1, -2, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, -2, -1]
F[1, 1, 1, 1, 1, 1, 1, 1, -1, 0, -2]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -2]
F[1, 1, 1, 1, 1, 1, 1, 1, -3, 0, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, -3, 0]
F[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -3]
